7285,21820
2480,49159
2393,42069
9957,25070
9302,52010
3760,7769
4238,99098
6757,87404
5768,44175
3064,53902
3102,21075
2356,16293
5372,43766
4004,89315
9966,17083
6208,52580
4575,22716
9880,89827
8114,38759
1116,85613
6684,5135
4639,68432
6306,42074
4657,68000
2608,67776
3508,26665
1974,54303
5107,36159
9335,42991
2283,43903
9045,1683
1394,58402
4581,73128
4662,53324
2723,32487
2708,16474
9315,89315
1762,66198
8051,52199
4286,56503
5764,44274
3371,79758
2597,45494
4673,53443
3040,43775
1529,76699
6891,95501
9704,6829
7578,25736
4700,38931
6223,60092
2013,45490
2332,94431
6984,65181
3931,84495
4723,63078
5008,97666
5193,92984
6460,70261
3269,23671
1573,56242
9853,31877
5020,11107
6056,1401
2029,72265
8943,70304
8517,53734
1528,15202
6052,2110
5603,32791
9333,85157
6786,80042
4296,7078
7943,54737
1102,89366
3146,80686
8062,98620
5439,70800
4678,2935
2448,18348
1514,46143
3031,59495
1894,60301
9485,54468
1858,4939
4177,63053
4804,88331
5714,21119
4471,31338
6131,14358
4312,71233
5109,67973
4815,86562
9880,12844
8227,37690
6971,47818
7909,64269
4537,11945
4564,61158
6210,7575
5506,6319
9930,5318
3776,71677
7180,52072
8241,55506
9394,76702
9720,83499
7002,49323
9838,31182
6355,51638
3063,11880
5101,9207
4153,50989
5453,83788
5867,87147
5907,80274
5775,53810
4163,62343
2657,6E195
9390,15012
4105,46852
5683,18360
9036,87143
5153,75508
4242,19338
6597,88941
4704,56840
4912,67947
7527,36074
8361,92343
5036,40558
2076,24251
9222,40960
9633,2023
2788,26331
8379,54780
5141,41422
9809,5219
3030,16480
9509,87959
8498,86868
7117,89762
4747,83029
9440,43424
3907,31767
8389,9493
1843,9172
8282,20763
7550,39828
6251,7580
5906,24643
9521,51430
2306,77785
6771,84087
8415,46009
5355,42319
4693,72948
7626,40441
2804,56889
2863,84730
5404,22684
4763,92458
5876,29740
1214,66719
1542,30755
6081,62440
3032,19293
3504,13289
4334,12603
6980,79387
4609,69950
4821,93746
7527,93879
1312,64152
3005,13134
6143,99582
4946,48119
4144,52427
6837,96250
6417,7141
5795,52012
2065,43963
4804,28532
8035,31893
8649,56483
4406,21085
3199,48678
5090,79658
6424,48239
2167,99987
6992,91268
9555,2678
1369,37268
8158,52143
6460,16516
9047,97332
4875,21585
9718,55820
2164,23333
1441,1779
1722,33292
7670,5782
8146,88653
1727,45374
7998,80408
1319,93687
5726,2443
5166,48617
2720,39453
8474,82694
2746,94764
1304,98414
3296,95223
9552,5479
6536,4694
8094,84483
8197,85990
7640,51424
1122,99900
8405,77085
7401,45364
2029,24146
6132,47880
4731,15193
4958,59583
2896,90867
9988,14178
9154,54701
5167,54860
9939,67767
8105,81589
4709,87565
3936,46037
7128,72152
2722,58898
7559,17923
7842,3498
5399,26613
2194,92827
6457,17062
8358,19784
9469,7799
9249,92352
9303,29759
2130,91304
3540,16702
1258,87338
5324,20762
7863,77947
1327,30134
2283,66069
4244,8572
9366,53862
7762,36975
3403,52728
2983,26332
6815,71294
9847,24957
5958,36082
7074,82394
7128,25707
4786,44561
5573,5976
7967,12386
1719,48470
4071,29099
9085,77958
5346,28808
4391,75788
5051,27480
4225,10435
9645,27686
3934,99100
9423,32006
5243,47445
8588,56396
9418,44992
8982,67177
9255,64053
7053,81425
5694,76240
4151,13234
2897,33302
8915,27265
8079,77507
8381,10771
7767,14711
2120,95076
8997,21815
8637,89853
1777,21252
8780,4069
6547,73780
7760,83476
6912,75170
3899,35605
3727,39991
4835,51463
5906,34494
6279,40643
1763,45182
8241,12529
6998,45451
3889,84509
3028,17762
8593,70442
4002,44520
2081,58406
3970,65657
1031,51915
4537,92627
6630,74557
2272,19687
6465,82479
3377,88029
6604,92695
3582,18562
9418,28376
5035,32787
7324,50036
6502,44779
8566,56311
8798,35499
9458,96922
6787,81265
1190,99747
7725,78193
8635,29292
6417,47386
5476,46736
8738,76873
4953,90188
4637,5197
4021,35287
7615,86035
3761,6668
3444,10896
2854,75518
9193,68305
9053,51866
4335,13961
3221,24934
2566,62974
9428,96711
1407,86752
9578,21784
3808,46223
8468,12485
1069,17828
3908,83686
2198,37471
9665,89820
6105,50212
7124,74266
2195,4078
3606,18494
7603,57248
2581,86996
5692,97911
4565,70953
5025,40408
7732,76849
9665,72390
5975,86848
3630,43029
6369,69521
4864,88438
2208,91748
8667,23263
6700,72964
6329,81274
4675,30437
8909,15164
1448,46299
4831,7273
7691,31043
8740,86061
8848,3817
9962,98507
1298,97556
4610,42317
7162,60545
4581,85138
1879,4951
4674,33564
4030,31547
5179,7410
3367,14648
2654,83175
1943,23339
6192,22519
7247,66416
7346,66952
4047,76776
9757,37846
1871,48863
2049,11204
4870,85238
8000,28499
9998,3196
7215,14716
3256,65716
1453,30064
7618,89157
6360,37768
4754,60773
2165,7291
4145,85212
3907,93720
7766,47561
6576,47610
2208,19014
3266,32325
3821,10925
9140,30732
9912,15695
5050,19508
1216,2690
2053,84829
7328,77169
6422,24002
5052,40307
212T,6939
5094,2292
9790,35232
7717,55301
1953,17642
1704,82131
5616,65593
2613,41744
2049,29698
4251,22668
1537,51582
8316,31809
1338,24699
6334,82920
6696,41690
7271,27293
3146,7671
5645,99651
2043,75329
4413,44316
8650,62217
2532,37432
2350,41972
5226,39077
5021,51532
7796,77337
7422,30506
2787,38299
6856,12131
8347,94085
7566,66899
8590,91681
5727,81026
7686,49330
4717,12179
4341,27410
5271,45129
7892,13921
4751,70867
1040,75223
8512,11941
2676,4326
1543,58951
87o5,27349
4140,97435
6883,53441
7182,15564
8067,18347
4605,15993
3000,16427
2555,30076
2293,3036
7839,69170
8073,94474
7194,28320
7572,66003
9558,34211
2808,83032
9521,84938
2068,59611
8538,90704
8512,17029
1799,72931
2038,69997
4170,54121
6108,40030
1407,1267
8191,83744
7142,67799
7430,40203
5111,1769
3917,59010
8683,98613
4197,62772
4550,5156
6041,31705
5351,88646
7878,82611
7367,32711
1206,26348
2484,83334
9958,6091
1950,95133
8665,95515
2942,57626
9527,88147
4963,75407
448P,34361
2545,29046
9095,25808
2035,82942
1731,22825
5105,42751
4629,23547
7351,43810
6564,35420
6561,94375
2430,21088
2905,58565
5912,72565
5167,72790
6830,65477
2904,91987
1882,80027
1042,39022
8620,91387
1290,29488
6610,38383
1472,51077
7326,39107
5831,3697
8834,6548
6371,11528
9029,24698
7775,18391
7516,98031
8215,59207
9070,62997
5557,96807
1689,47831
2005,28422
4141,29227
2082,81464
8627,72664
4952,6063
2540,34299
4012,77942
3071,76688
4107,23378
7287,93958
8025,30578
4340,83381
6443,55808
2919,83029
8205,39771
8827,89656
6654,9913
3714,79439
8964,57595
2697,74907
4066,36809
4532,92888
1545,54384
6378,64789
2705,62018
8733,87914
6328,97587
4535,57677
9199,3053
1958,47135
8834,51016
1377,10631
7053,80416
8900,77262
